wid,agegroup,gender,hand,thirdgrade_usa,thirdgrade_usa_region,s1_dae,s1_time,s2_dae,s2_time,s3_dae,s3_time,db_version
276,61+,Female,Right,True,Midwest,0.0,Late Evening,207.0,Late Evening,236.0,Early Afternoon,version5
483,18-24,Female,Right,True,Midwest,0.0,Early Afternoon,221.0,Late Evening,189.0,Early Afternoon,version5
580,18-24,Male,Right,True,Midwest,0.0,Late evening (later than 7:30pm),42.0,Early evening (5pm-7:30pm),76.0,Early afternoon (12:00pm-2:30pm),version5
6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening,version5
701,41-60,Female,Right,True,Midwest,0.0,Late afternoon (2:30pm-5pm),22.0,Early afternoon (12:00pm-2:30pm),48.0,Late evening (later than 7:30pm),version5
711,41-60,Female,Right,True,South,0.0,Late morning (9:30am-12:00pm),32.0,Late evening (later than 7:30pm),69.0,Early morning (earlier than 9:30am),version5
362,18-24,Female,Right,True,Midwest,0.0,Late Afternoon,29.0,Early Afternoon,58.0,Early Afternoon,version5
515,41-60,Female,Right,True,Midwest,0.0,Early Evening,41.0,Late Evening,67.0,Late Evening,version5
299,25-40,Male,Right,False,,0.0,Late Morning,104.0,Early Morning,175.0,Early Morning,version5
450,25-40,Female,Right,True,Midwest,0.0,Early Afternoon,47.0,Early Morning,71.0,Late Afternoon,version5
359,18-24,Male,Right,False,,0.0,Late Afternoon,22.0,Late Morning,,,version5
675,18-24,Female,Right,True,South,0.0,Early afternoon (12:00pm-2:30pm),19.0,Early afternoon (12:00pm-2:30pm),37.0,Early afternoon (12:00pm-2:30pm),version5
182,41-60,Male,Right,False,,0.0,Late Evening,93.0,Early Afternoon,132.0,Early Morning,version5
357,18-24,Male,Right,True,Midwest,0.0,Late Afternoon,23.0,Late Evening,48.0,Late Afternoon,version5
628,25-40,Female,Right,False,,0.0,Early morning (earlier than 9:30am),21.0,Early afternoon (12:00pm-2:30pm),42.0,Early afternoon (12:00pm-2:30pm),version5
384,18-24,Female,Right,True,Midwest,0.0,Early Evening,27.0,Early Afternoon,62.0,Late Morning,version5
658,61+,Male,Right,True,Midwest,0.0,Late evening (later than 7:30pm),36.0,Late evening (later than 7:30pm),68.0,Late evening (later than 7:30pm),version5
646,18-24,Female,Right,True,Midwest,0.0,Late evening (later than 7:30pm),21.0,Late evening (later than 7:30pm),49.0,Late evening (later than 7:30pm),version5
238,41-60,Female,Right,True,West,0.0,Late Evening,33.0,Late Afternoon,75.0,Early Evening,version5
58,18-24,Female,Right,True,Midwest,0.0,Late Evening,72.0,Early Afternoon,101.0,Early Afternoon,version5
255,18-24,Female,Right,True,Midwest,0.0,Early Afternoon,35.0,Late Evening,97.0,Late Evening,version5
605,25-40,Male,Right,True,Midwest,0.0,Late morning (9:30am-12:00pm),29.0,Early morning (earlier than 9:30am),55.0,Early morning (earlier than 9:30am),version5
571,18-24,Male,Right,True,Northeast,0.0,Late morning (9:30am-12:00pm),35.0,Late afternoon (2:30pm-5pm),100.0,Early evening (5pm-7:30pm),version5
530,18-24,Female,Right,True,Midwest,0.0,Early Afternoon,43.0,Early Afternoon,93.0,Late Evening,version5
291,41-60,Male,Right,True,Midwest,0.0,Early Afternoon,32.0,Early Afternoon,60.0,Late Afternoon,version5
468,18-24,Male,Right,True,Midwest,0.0,Late Evening,22.0,Late Evening,49.0,Early Afternoon,version5
370,18-24,Male,Right,True,Midwest,0.0,Late Afternoon,53.0,Early Morning,226.0,Early Evening,version5
513,18-24,Female,Right,True,Midwest,0.0,Early Afternoon,39.0,Late Morning,65.0,Early Afternoon,version5
337,41-60,Female,Right,True,Midwest,0.0,Early Evening,32.0,Early Evening,128.0,Early Afternoon,version5
156,18-24,male,right,True,midwest,0.0,lateevening,36.0,lateevening,99.0,lateevening,version5
446,25-40,Female,Right,True,Midwest,0.0,Early Evening,33.0,Early Morning,71.0,Early Morning,version5
680,18-24,Female,Right,True,South,0.0,Late afternoon (2:30pm-5pm),19.0,Early evening (5pm-7:30pm),39.0,Early evening (5pm-7:30pm),version5
519,18-24,Female,Right,True,Midwest,0.0,Late Morning,21.0,Late Evening,49.0,Late Evening,version5
260,41-60,Female,Right,True,Northeast,0.0,Early Evening,55.0,Late Morning,108.0,Late Morning,version5
448,41-60,Female,Right,False,,0.0,Late Afternoon,114.0,Late Evening,143.0,Late Afternoon,version5
144,41-60,female,right,True,midwest,0.0,earlyafternoon,28.0,lateafternoon,64.0,lateafternoon,version5
383,25-40,Female,Right,False,,0.0,Early Afternoon,67.0,Late Afternoon,88.0,Late Afternoon,version5
90,61+,Male,Right,,,0.0,Late Morning,106.0,Late Evening,205.0,Late Evening,version5
279,41-60,Female,Right,True,Midwest,0.0,Early Afternoon,43.0,Late Morning,66.0,Early Afternoon,version5
470,18-24,Male,Right,True,Midwest,0.0,Early Afternoon,30.0,Late Evening,66.0,Early Afternoon,version5
2,41-60,male,right,True,midwest,0.0,latemorning,53.0,latemorning,98.0,earlyafternoon,version5
500,18-24,Female,Right,True,Midwest,0.0,Late Morning,22.0,Early Afternoon,41.0,Late Morning,version5
382,18-24,Female,Right,True,Midwest,0.0,Early Evening,155.0,Late Evening,187.0,Late Afternoon,version5
562,18-24,Female,Right,True,Northeast,0.0,Early evening (5pm-7:30pm),43.0,Late evening (later than 7:30pm),102.0,Early afternoon (12:00pm-2:30pm),version5
28,41-60,female,right,True,midwest,0.0,earlyafternoon,34.0,earlymorning,67.0,earlymorning,version5
525,18-24,Female,Right,True,Midwest,0.0,Late Morning,28.0,Late Morning,76.0,Late Morning,version5
535,18-24,Female,Right,True,Midwest,0.0,Early Evening,28.0,Early Afternoon,54.0,Early Evening,version5
611,61+,Male,Right,True,South,0.0,Late morning (9:30am-12:00pm),59.0,Late evening (later than 7:30pm),54.0,Late evening (later than 7:30pm),version5
92,41-60,female,right,True,midwest,0.0,earlyafternoon,35.0,earlymorning,67.0,latemorning,version5
89,25-40,male,right,True,midwest,0.0,lateevening,44.0,latemorning,73.0,earlyafternoon,version5
3,25-40,female,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,47.0,earlyafternoon,version5
34,25-40,female,right,True,midwest,0.0,earlymorning,28.0,lateafternoon,50.0,lateafternoon,version5
586,61+,Female,Right,True,Midwest,0.0,Late evening (later than 7:30pm),24.0,Early morning (earlier than 9:30am),48.0,Late afternoon (2:30pm-5pm),version5
264,41-60,Female,Right,True,South,0.0,Early Morning,28.0,Early Afternoon,66.0,Late Afternoon,version5
199,25-40,Female,Right,True,South,0.0,Late Afternoon,83.0,Early Evening,134.0,Early Evening,version5
335,18-24,Female,Right,True,South,0.0,Early Evening,54.0,Late Morning,119.0,Early Evening,version5
456,18-24,Male,Right,True,Midwest,0.0,Early Evening,27.0,Early Morning,48.0,Late Morning,version5
543,18-24,Female,Right,True,Midwest,0.0,Late Afternoon,23.0,Late Afternoon,47.0,Early Afternoon,version5
662,18-24,Female,Right,True,Midwest,0.0,Early Evening,27.0,Late Morning,67.0,Late Afternoon,version5
201,25-40,Female,Right,True,West,0.0,Late Afternoon,40.0,Early Afternoon,107.0,Early Morning,version5
148,25-40,male,right,False,,0.0,earlyafternoon,23.0,earlyafternoon,51.0,earlyafternoon,version5
408,18-24,Female,Right,True,Midwest,0.0,Late Morning,24.0,Early Evening,52.0,Early Evening,version5
623,25-40,Female,Right,False,,0.0,Early morning (earlier than 9:30am),18.0,Early afternoon (12:00pm-2:30pm),44.0,Early afternoon (12:00pm-2:30pm),version5
29,41-60,female,right,True,midwest,0.0,earlymorning,47.0,lateevening,97.0,earlymorning,version5
414,18-24,Female,Right,True,,0.0,Late Morning,46.0,Late Afternoon,132.0,Late Morning,version5
93,41-60,male,right,True,midwest,0.0,latemorning,39.0,lateevening,72.0,lateevening,version5
320,41-60,Female,Right,True,Northeast,0.0,Late Afternoon,97.0,Early Morning,200.0,Late Evening,version5
77,25-40,male,right,False,,0.0,lateevening,35.0,earlyafternoon,69.0,lateevening,version5
147,41-60,female,right,True,midwest,0.0,earlyafternoon,26.0,earlyafternoon,50.0,latemorning,version5
12,18-24,male,right,True,northeast,0.0,earlyafternoon,21.0,earlyafternoon,58.0,latemorning,version5
354,18-24,Female,Right,True,Midwest,0.0,Late Afternoon,31.0,Late Morning,61.0,Early Afternoon,version5
118,25-40,Male,Right,True,,0.0,Late Morning,39.0,Late Morning,119.0,Late Afternoon,version5
668,41-60,Female,Right,True,Midwest,0.0,Early afternoon (12:00pm-2:30pm),33.0,Late afternoon (2:30pm-5pm),65.0,Late morning (9:30am-12:00pm),version5
626,18-24,Female,Right,True,South,0.0,Late morning (9:30am-12:00pm),33.0,Early morning (earlier than 9:30am),58.0,Late evening (later than 7:30pm),version5
204,18-24,Female,Right,True,Midwest,0.0,Early Afternoon,38.0,Late Morning,91.0,Early Afternoon,version5
554,18-24,Female,Right,True,Northeast,0.0,Late afternoon (2:30pm-5pm),53.0,Late evening (later than 7:30pm),74.0,Late evening (later than 7:30pm),version5
75,61+,female,right,True,midwest,0.0,latemorning,29.0,earlymorning,82.0,earlyafternoon,version5
128,18-24,female,right,True,,0.0,earlyafternoon,40.0,earlyafternoon,71.0,latemorning,version5
516,18-24,Male,Right,False,,0.0,Late Evening,,,242.0,Late Afternoon,version5
644,18-24,Female,Right,True,Midwest,0.0,Late afternoon (2:30pm-5pm),30.0,Late evening (later than 7:30pm),52.0,Late evening (later than 7:30pm),version5
202,25-40,Female,Right,True,West,0.0,Early Afternoon,60.0,Late Afternoon,250.0,Early Afternoon,version5
576,18-24,Female,Right,True,Midwest,0.0,Early evening (5pm-7:30pm),31.0,Late afternoon (2:30pm-5pm),58.0,Late morning (9:30am-12:00pm),version5
36,18-24,female,right,True,midwest,0.0,lateevening,36.0,lateevening,95.0,lateafternoon,version5
517,25-40,Female,Right,True,Midwest,0.0,Late Morning,21.0,Late Morning,42.0,Late Afternoon,version5
682,18-24,Female,Right,True,,0.0,Late morning (9:30am-12:00pm),34.0,Late morning (9:30am-12:00pm),102.0,Early evening (5pm-7:30pm),version5
569,25-40,Female,Right,True,South,0.0,Early afternoon (12:00pm-2:30pm),26.0,Early evening (5pm-7:30pm),75.0,Late morning (9:30am-12:00pm),version5
249,25-40,Female,Right,True,Midwest,0.0,Late Afternoon,21.0,Late Afternoon,135.0,Early Evening,version5
600,41-60,Female,Right,True,Midwest,0.0,Early evening (5pm-7:30pm),35.0,Late evening (later than 7:30pm),62.0,Early morning (earlier than 9:30am),version5
673,18-24,Female,Right,False,,0.0,Late morning (9:30am-12:00pm),24.0,Late afternoon (2:30pm-5pm),49.0,Late evening (later than 7:30pm),version5
477,25-40,Female,Right,True,Midwest,0.0,Early afternoon (12:00pm-2:30pm),50.0,Late evening (later than 7:30pm),88.0,Early afternoon (12:00pm-2:30pm),version5
613,18-24,Female,Right,False,,0.0,Late morning (9:30am-12:00pm),39.0,Late morning (9:30am-12:00pm),163.0,Late afternoon (2:30pm-5pm),version5
224,41-60,Female,Right,True,Midwest,0.0,Early Evening,31.0,Early Evening,54.0,Late Morning,version5
720,18-24,Female,Right,True,Midwest,0.0,Late afternoon (2:30pm-5pm),31.0,Early evening (5pm-7:30pm),64.0,Late morning (9:30am-12:00pm),version5
523,18-24,Female,Right,True,Midwest,0.0,Early Evening,26.0,Late Evening,50.0,Late Afternoon,version5
416,18-24,Female,Right,True,,0.0,Early Evening,19.0,Early Afternoon,46.0,Early Afternoon,version5
119,25-40,Female,Right,True,Midwest,0.0,Early Afternoon,34.0,Late Morning,71.0,Early Morning,version5
698,41-60,Female,Right,True,Midwest,0.0,Early afternoon (12:00pm-2:30pm),22.0,Early evening (5pm-7:30pm),48.0,Late evening (later than 7:30pm),version5
139,61+,male,right,True,west,0.0,lateafternoon,41.0,earlymorning,80.0,lateafternoon,version5
135,25-40,female,right,False,,0.0,earlyafternoon,35.0,earlymorning,84.0,earlyafternoon,version5
536,18-24,Female,Right,True,Midwest,0.0,Late Morning,29.0,Early Evening,66.0,Early Afternoon,version5
40,25-40,Female,Right,True,Midwest,0.0,Late Afternoon,99.0,Early Afternoon,139.0,Early Afternoon,version5
365,41-60,Female,Right,False,,0.0,Late Evening,33.0,Late Evening,61.0,Late Evening,version5
560,18-24,Female,Right,True,Midwest,0.0,Late morning (9:30am-12:00pm),37.0,Late evening (later than 7:30pm),124.0,Late evening (later than 7:30pm),version5
146,25-40,Female,Right,True,Midwest,0.0,Early Afternoon,90.0,Late Morning,168.0,Early Afternoon,version5
245,18-24,Female,Right,True,Midwest,0.0,Late Afternoon,48.0,Late Afternoon,87.0,Late Afternoon,version5
694,25-40,Female,Right,True,Midwest,0.0,Early afternoon (12:00pm-2:30pm),33.0,Early evening (5pm-7:30pm),123.0,Early evening (5pm-7:30pm),version5
227,41-60,Female,Right,True,South,0.0,Early Evening,27.0,Late Morning,63.0,Early Evening,version5
693,18-24,Female,Right,True,Midwest,0.0,Early evening (5pm-7:30pm),17.0,Late morning (9:30am-12:00pm),45.0,Early afternoon (12:00pm-2:30pm),version5
650,25-40,,Right,False,,0.0,Late evening (later than 7:30pm),70.0,Late evening (later than 7:30pm),99.0,,version5
137,25-40,female,right,True,south,0.0,earlyafternoon,41.0,earlymorning,78.0,earlyafternoon,version5
308,18-24,Female,Right,True,Midwest,0.0,Late Evening,70.0,Early Evening,95.0,Late Afternoon,version5
695,18-24,Female,Right,True,West,0.0,Early afternoon (12:00pm-2:30pm),60.0,Early afternoon (12:00pm-2:30pm),130.0,Late morning (9:30am-12:00pm),version5
413,25-40,Female,Right,True,South,0.0,Late Evening,20.0,Late Evening,92.0,Late Morning,version5
405,18-24,Female,Right,False,,0.0,Early Evening,42.0,Early Evening,59.0,Late Afternoon,version5
700,41-60,Female,Right,True,Midwest,0.0,Late afternoon (2:30pm-5pm),22.0,Late morning (9:30am-12:00pm),55.0,Late evening (later than 7:30pm),version5
17,25-40,male,right,False,,0.0,lateevening,30.0,lateevening,74.0,lateevening,version5
388,25-40,Female,Right,True,,0.0,Late Morning,100.0,Late Morning,133.0,Early Morning,version5
667,18-24,Female,Right,True,Midwest,0.0,Late afternoon (2:30pm-5pm),55.0,Late afternoon (2:30pm-5pm),104.0,Late afternoon (2:30pm-5pm),version5
443,18-24,Female,Right,True,Midwest,0.0,Late Morning,35.0,Early Evening,61.0,Early Afternoon,version5
13,61+,female,right,False,,0.0,lateevening,32.0,earlyevening,59.0,earlyafternoon,version5
637,18-24,Female,Right,True,Midwest,0.0,Late morning (9:30am-12:00pm),51.0,Late morning (9:30am-12:00pm),77.0,Early afternoon (12:00pm-2:30pm),version5
559,18-24,Male,Right,True,Midwest,0.0,Late morning (9:30am-12:00pm),74.0,Early afternoon (12:00pm-2:30pm),74.0,Early afternoon (12:00pm-2:30pm),version5
564,25-40,Female,Right,True,South,0.0,Late afternoon (2:30pm-5pm),28.0,Early afternoon (12:00pm-2:30pm),57.0,Early afternoon (12:00pm-2:30pm),version5
495,18-24,Female,Right,True,Midwest,0.0,Late Evening,39.0,Late Afternoon,52.0,Late Morning,version5
479,18-24,Male,Right,True,Midwest,0.0,Late Morning,41.0,Early Evening,69.0,Late Afternoon,version5
715,18-24,Female,Right,False,,0.0,Early afternoon (12:00pm-2:30pm),32.0,Early evening (5pm-7:30pm),58.0,Early evening (5pm-7:30pm),version5
282,18-24,Male,Right,True,Midwest,0.0,Late Evening,27.0,Late Evening,49.0,Late Evening,version5
618,41-60,Female,Right,False,,0.0,Late evening (later than 7:30pm),27.0,Late evening (later than 7:30pm),54.0,Early evening (5pm-7:30pm),version5
707,41-60,Female,Right,False,,0.0,Late morning (9:30am-12:00pm),43.0,Late afternoon (2:30pm-5pm),239.0,Early evening (5pm-7:30pm),version5
203,25-40,Female,Right,False,,0.0,Early Afternoon,60.0,Late Morning,129.0,Late Afternoon,version5
409,18-24,Female,Right,True,Midwest,0.0,Late Afternoon,28.0,Early Evening,52.0,Early Evening,version5
573,61+,Female,Right,True,Northeast,0.0,Late afternoon (2:30pm-5pm),28.0,Late afternoon (2:30pm-5pm),117.0,Late afternoon (2:30pm-5pm),version5
338,41-60,Female,Right,True,Midwest,0.0,Early Afternoon,28.0,Late Afternoon,67.0,Late Afternoon,version5
76,41-60,female,right,True,south,0.0,lateevening,32.0,lateevening,67.0,lateevening,version5
205,18-24,Male,Right,True,Midwest,0.0,Early Evening,404.0,Early Afternoon,531.0,Early Afternoon,version5
704,25-40,Male,Right,True,Midwest,0.0,Late morning (9:30am-12:00pm),20.0,Late afternoon (2:30pm-5pm),47.0,,version5
424,25-40,Male,Right,False,,0.0,Late Afternoon,36.0,Late Morning,61.0,Early Evening,version5
302,18-24,Male,Right,True,Midwest,0.0,Early Afternoon,60.0,Late Afternoon,107.0,Late Evening,version5
429,18-24,Female,Right,True,Midwest,0.0,Late Morning,28.0,Early Evening,70.0,Late Afternoon,version5
645,18-24,Female,Right,True,Midwest,0.0,Late evening (later than 7:30pm),21.0,Late evening (later than 7:30pm),43.0,Late morning (9:30am-12:00pm),version5
11,18-24,male,right,True,midwest,0.0,earlyafternoon,21.0,earlyafternoon,58.0,latemorning,version5
391,18-24,Female,Right,True,Midwest,0.0,Early Afternoon,26.0,Late Morning,52.0,Late Afternoon,version5
99,25-40,Female,Right,True,Midwest,0.0,Early Evening,125.0,Early Afternoon,148.0,Early Morning,version5
587,41-60,Male,Right,True,Midwest,0.0,Late afternoon (2:30pm-5pm),22.0,Late morning (9:30am-12:00pm),48.0,Late afternoon (2:30pm-5pm),version5
149,41-60,male,right,False,,0.0,earlyevening,21.0,lateevening,46.0,latemorning,version5
642,18-24,,Right,True,Midwest,0.0,Early evening (5pm-7:30pm),58.0,Late afternoon (2:30pm-5pm),83.0,Early afternoon (12:00pm-2:30pm),version5
501,18-24,Female,Right,True,Midwest,0.0,Late Evening,21.0,Late Evening,42.0,Late Evening,version5
32,18-24,male,right,True,midwest,0.0,earlyevening,23.0,lateafternoon,50.0,earlyafternoon,version5
702,61+,Female,Right,True,Midwest,0.0,Late afternoon (2:30pm-5pm),26.0,Early afternoon (12:00pm-2:30pm),49.0,Late afternoon (2:30pm-5pm),version5
621,18-24,Female,Right,True,Midwest,0.0,Late afternoon (2:30pm-5pm),55.0,Late evening (later than 7:30pm),106.0,Late afternoon (2:30pm-5pm),version5
66,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening,version5
551,18-24,Female,Right,True,West,0.0,Late morning (9:30am-12:00pm),82.0,Early afternoon (12:00pm-2:30pm),110.0,Late morning (9:30am-12:00pm),version5
